match_id,tour,title,surface,round,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1972483,atp,Cincinnati,hard,semifinal,2,3.77,Daniil Medvedev,Russia,198,83,25,2,2,40,10,24,4,364,162,146,53,-0.84,1.23,5,2099,Andrey Rublev,Russia,188,70,23,7,7,41,13,20,6,326,183,120,65,4.58,4.77,1,1995
1972490,wta,Cincinnati WTA,hard,semifinal,2,-1,Karolina Pliskova,Czech Republic,186,72,29,4,1,30,16,16,9,608,329,285,145,1.7,1.43,0,1953,Belen Teichmann Jil,Switzerland,170,80,24,76,40,18,13,15,7,232,159,63,55,8.52,3.05,1,1750
1972482,wta,Chicago WTA,hard,semifinal,1,1.05,Clara Tauson,Denmark,-,-,18,101,90,30,12,10,2,127,39,44,8,1.22,2.05,1,1722,Ann Li,USA,160,50,21,66,66,15,8,13,4,128,76,86,48,3.54,1.86,1,1803
1972487,wta,Chicago WTA,hard,semifinal,1,0.87,Emma Raducanu,Great Britain,-,-,18,174,174,13,5,8,2,81,25,44,9,8.76,1.87,1,-,Claire Liu,USA,-,-,21,107,105,37,14,15,8,167,103,90,65,7.84,2.05,0,1618
1972321,wta,Cincinnati WTA,hard,quarterfinal,2,-1,Paula Badosa,Spain,180,72,23,29,29,33,13,10,6,276,150,99,51,13.36,2.66,0,1872,Karolina Pliskova,Czech Republic,186,72,29,4,1,30,16,16,9,608,329,285,145,1.7,1.54,2,1953
1972325,wta,Cincinnati WTA,hard,quarterfinal,2,2.09,Belinda Bencic,Switzerland,175,63,24,12,4,26,15,16,7,331,176,157,86,7.01,1.43,2,1916,Belen Teichmann Jil,Switzerland,170,80,24,76,40,18,13,15,7,232,159,63,55,8.52,3.09,1,1750
1972477,wta,Cincinnati WTA,hard,semifinal,2,-1,Angelique Kerber,Germany,173,68,33,22,1,23,12,8,6,681,357,349,174,8.9,3.53,3,1895,Ashleigh Barty,Australia,166,62,25,1,1,39,8,18,4,304,107,161,55,6.81,1.35,4,2156
1972314,atp,Cincinnati,hard,quarterfinal,1,0.26,Alexander Zverev,Germany,198,90,24,5,3,36,11,18,4,383,207,145,79,6.0,1.26,1,2049,Casper Ruud,Norway,183,77,22,11,11,39,11,9,4,254,155,47,38,7.51,4.36,0,1907
1972516,atp,Winston Salem,hard,1. round,1,-1,Nick Kyrgios,Australia,193,85,26,81,13,7,6,5,5,257,143,157,86,-1.5,1.49,2,1800,Andy Murray,Great Britain,190,83,34,105,1,9,6,1,1,793,256,382,117,-0.64,2.76,5,1825
1972489,atp,Cincinnati,hard,semifinal,1,-1,Alexander Zverev,Germany,198,90,24,5,3,36,11,18,4,383,207,145,79,6.0,1.69,2,2049,Stefanos Tsitsipas,Greece,193,89,23,3,3,48,13,21,5,370,177,153,84,1.08,2.30,6,2040
1972326,atp,Cincinnati,hard,quarterfinal,2,-1,Felix Auger Aliassime,Canada,193,88,21,17,15,28,18,14,8,215,130,70,51,3.15,3.06,2,1812,Stefanos Tsitsipas,Greece,193,89,23,3,3,48,13,21,5,370,177,153,84,1.08,1.43,5,2040
