category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
ATP,2011-10-25-Andujar-Alba P-Petzschner P,Andujar-Alba P.,4.47,Petzschner P.,1.19,0:2,hard,2011-10-25 15:15,ATP Vienna 2011,2
ATP,2011-10-25-Chardy J-Lajovic D,Chardy J.,1.4,Lajovic D.,2.86,0:2,hard,2011-10-25 16:00,ATP St. Petersburg 2011,2
ATP,2011-10-25-Garcia-Lopez G-Blake J,Garcia-Lopez G.,3.1,Blake J.,1.36,2:1,hard,2011-10-25 16:50,ATP Vienna 2011,1
ATP,2011-10-25-Tursunov D-Gabashvili T,Tursunov D.,1.36,Gabashvili T.,3.05,2:0,hard,2011-10-25 17:00,ATP St. Petersburg 2011,1
ATP,2011-10-25-Ramos A-Malisse X,Ramos A.,2.65,Malisse X.,1.47,0:2,hard,2011-10-25 17:00,ATP Vienna 2011,2
ATP,2011-10-25-Muster T-Thiem D,Muster T.,2.83,Thiem D.,1.42,0:2,hard,2011-10-25 18:45,ATP Vienna 2011,2
ATP,2011-10-26-Andreev I-Granollers M,Andreev I.,2.12,Granollers M.,1.67,2:1,hard,2011-10-26 09:10,ATP St. Petersburg 2011,1
ATP,2011-10-26-Berlocq C-Kohlschreiber P,Berlocq C.,4.14,Kohlschreiber P.,1.22,1:2,hard,2011-10-26 09:15,ATP St. Petersburg 2011,2
ATP,2011-10-26-Pospisil V-Seppi A,Pospisil V.,2.37,Seppi A.,1.55,0:2,hard,2011-10-26 11:45,ATP St. Petersburg 2011,2
ATP,2011-10-26-Petzschner P-Del Potro J,Petzschner P.,3.5,Del Potro J.,1.29,0:2,hard,2011-10-26 12:20,ATP Vienna 2011,2
ATP,2011-10-26-Rochus O-Tipsarevic J,Rochus O.,4.8,Tipsarevic J.,1.17,0:2,hard,2011-10-26 13:45,ATP St. Petersburg 2011,2
ATP,2011-10-26-Darcis S-Davydenko N,Darcis S.,2.83,Davydenko N.,1.41,2:1,hard,2011-10-26 14:00,ATP Vienna 2011,1
ATP,2011-10-26-Haase R-Nieminen J,Haase R.,1.76,Nieminen J.,2.0,0:2,hard,2011-10-26 14:40,ATP Vienna 2011,2
ATP,2011-10-26-Benneteau J-Youzhny M,Benneteau J.,2.06,Youzhny M.,1.72,1:2,hard,2011-10-26 15:35,ATP St. Petersburg 2011,2
ATP,2011-10-26-Anderson K-Baghdatis M,Anderson K.,2.27,Baghdatis M.,1.61,2:0,hard,2011-10-26 16:25,ATP Vienna 2011,1
ATP,2011-10-26-Mannarino A-Rosol L,Mannarino A.,1.74,Rosol L.,2.02,2:0,hard,2011-10-26 18:00,ATP St. Petersburg 2011,1
ATP,2011-10-27-Bogomolov A-Kohlschreiber P,Bogomolov A. Jr,1.68,Kohlschreiber P.,2.13,2:1,hard,2011-10-27 09:10,ATP St. Petersburg 2011,1
ATP,2011-10-27-Lajovic D-Sela D,Lajovic D.,1.99,Sela D.,1.76,2:1,hard,2011-10-27 10:10,ATP St. Petersburg 2011,1
ATP,2011-10-27-Haas T-Bedene A,Haas T.,1.3,Bedene A.,3.43,2:1,hard,2011-10-27 11:10,ATP Vienna 2011,1
ATP,2011-10-27-Tursunov D-Starace P,Tursunov D.,1.27,Starace P.,3.67,0:2,hard,2011-10-27 11:55,ATP St. Petersburg 2011,2
ATP,2011-10-27-Stepanek R-Brands D,Stepanek R.,1.21,Brands D.,4.27,0:2,hard,2011-10-27 12:10,ATP Vienna 2011,2
ATP,2011-10-27-Cilic M-Devvarman S,Cilic M.,1.15,Devvarman S.,5.06,2:1,hard,2011-10-27 12:10,ATP St. Petersburg 2011,1
ATP,2011-10-27-Thiem D-Darcis S,Thiem D.,5.56,Darcis S.,1.13,0:2,hard,2011-10-27 13:10,ATP Vienna 2011,2
ATP,2011-10-27-Malisse X-Fognini F,Malisse X.,1.34,Fognini F.,3.23,2:1,hard,2011-10-27 14:00,ATP Vienna 2011,1
ATP,2011-10-27-Garcia-Lopez G-Melzer J,Garcia-Lopez G.,3.07,Melzer J.,1.36,0:2,hard,2011-10-27 14:40,ATP Vienna 2011,2
ATP,2011-10-27-Seppi A-Andreev I,Seppi A.,1.58,Andreev I.,2.31,2:1,hard,2011-10-27 17:30,ATP St. Petersburg 2011,1
ATP,2011-10-28-Bogomolov A-Lajovic D,Bogomolov A. Jr,1.34,Lajovic D.,3.19,2:0,hard,2011-10-28 09:10,ATP St. Petersburg 2011,1
ATP,2011-10-28-Starace P-Tipsarevic J,Starace P.,6.16,Tipsarevic J.,1.12,1:2,hard,2011-10-28 10:50,ATP St. Petersburg 2011,2
ATP,2011-10-28-Haas T-Del Potro J,Haas T.,4.84,Del Potro J.,1.17,0:2,hard,2011-10-28 13:15,ATP Vienna 2011,2
ATP,2011-10-28-Cilic M-Seppi A,Cilic M.,1.28,Seppi A.,3.58,2:1,hard,2011-10-28 13:30,ATP St. Petersburg 2011,1
ATP,2011-10-28-Anderson K-Melzer J,Anderson K.,1.95,Melzer J.,1.79,2:0,hard,2011-10-28 15:00,ATP Vienna 2011,1
ATP,2011-10-28-Brands D-Darcis S,Brands D.,2.21,Darcis S.,1.63,2:0,hard,2011-10-28 15:10,ATP Vienna 2011,1
ATP,2011-10-28-Mannarino A-Youzhny M,Mannarino A.,4.44,Youzhny M.,1.2,0:2,hard,2011-10-28 16:10,ATP St. Petersburg 2011,2
ATP,2011-10-28-Tsonga J-W-Malisse X,Tsonga J-W.,1.22,Malisse X.,4.21,2:1,hard,2011-10-28 16:40,ATP Vienna 2011,1
ATP,2011-10-29-Bogomolov A-Tipsarevic J,Bogomolov A. Jr,3.66,Tipsarevic J.,1.28,0:2,hard,2011-10-29 10:15,ATP St. Petersburg 2011,2
ATP,2011-10-29-Anderson K-Del Potro J,Anderson K.,3.13,Del Potro J.,1.35,1:2,hard,2011-10-29 11:15,ATP Vienna 2011,2
ATP,2011-10-29-Youzhny M-Cilic M,Youzhny M.,1.67,Cilic M.,2.15,0:2,hard,2011-10-29 11:45,ATP St. Petersburg 2011,2
ATP,2011-10-29-Tsonga J-W-Brands D,Tsonga J-W.,1.13,Brands D.,5.77,2:0,hard,2011-10-29 13:50,ATP Vienna 2011,1
ATP,2011-10-30-Cilic M-Tipsarevic J,Cilic M.,2.48,Tipsarevic J.,1.53,2:1,hard,2011-10-30 12:10,ATP St. Petersburg 2011,1
ATP,2011-10-30-Tsonga J-W-Del Potro J,Tsonga J-W.,2.12,Del Potro J.,1.71,2:1,hard,2011-10-30 12:45,ATP Vienna 2011,1
