match_id,tour,title,surface,round,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1970120,atp,Toronto - Masters,hard,semifinal,1,-1,Reilly Opelka,USA,211,102,23,32,31,15,14,9,7,193,146,89,72,4.6,5.33,1,1748,Stefanos Tsitsipas,Greece,193,89,23,3,3,45,13,18,5,367,177,150,84,0.24,1.19,1,2037
1970280,atp,Cincinnati,hard,1. round,2,1.71,Roberto Bautista-Agut,Spain,183,75,33,18,9,25,19,11,7,702,416,274,131,-2.16,1.51,2,1841,Grigor Dimitrov,Bulgaria,191,81,30,21,3,12,12,8,6,506,306,205,126,-3.35,2.71,4,1820
1970119,wta,Montreal,hard,semifinal,2,-1,Aryna Sabalenka,Belarus,182,80,23,3,3,38,13,18,7,272,134,156,61,0.72,1.49,2,2039,Karolina Pliskova,Czech Republic,186,72,29,6,1,27,14,13,7,605,327,282,143,1.77,2.84,2,1953
1970042,wta,Montreal,hard,quarterfinal,2,1.26,Ons Jabeur,Tunis,167,66,26,22,22,36,14,13,8,353,200,122,96,3.68,1.72,0,1941,Jessica Pegula,USA,170,70,27,30,25,31,15,21,8,312,196,166,93,7.38,2.26,2,1896
1969997,wta,Montreal,hard,quarterfinal,2,-1,Cori Gauff,USA,176,59,17,24,23,33,13,13,7,83,40,33,20,9.35,1.68,1,1945,Camila Giorgi,Italy,168,54,29,71,26,22,12,10,4,388,280,154,119,9.94,2.32,1,1842
1970268,atp,Cincinnati WTA,hard,1. round,1,-1,Petra Kvitova,Czech Republic,183,70,31,12,2,21,13,10,7,599,259,256,129,-5.28,1.61,3,1966,Madison Keys,USA,178,66,26,26,7,10,11,2,5,307,169,183,103,-2.47,2.43,4,1886
1970291,atp,Cincinnati,hard,1. round,2,0.36,Guido Pella,Argentina,183,79,31,102,20,3,13,1,2,497,331,76,77,-7.75,3.41,1,1682,David Goffin,Belgium,180,70,30,19,7,14,13,4,6,565,304,209,114,-1.86,1.36,4,1811
1970278,atp,Cincinnati WTA,hard,1. round,2,,Sorana-Mihaela Cirstea,Romania,176,59,31,40,21,20,12,7,5,484,360,215,161,10.11,1.63,3,-,Belen Teichmann Jil,Switzerland,170,80,24,65,40,13,13,10,7,227,159,58,55,-0.34,2.37,1,-
1970027,atp,Toronto - Masters,hard,quarterfinal,1,-1,Daniil Medvedev,Russia,198,83,25,2,2,36,9,20,3,360,161,142,52,-0.61,1.22,1,2078,Hubert Hurkacz,Poland,196,81,24,13,11,22,14,15,5,261,164,124,57,12.62,4.81,1,1854
1970024,atp,Toronto - Masters,hard,quarterfinal,1,0.55,John Isner,USA,208,108,36,30,8,20,8,15,5,534,330,326,168,11.21,1.55,6,1852,Gael Monfils,France,193,85,34,24,6,5,11,2,4,605,338,222,130,-4.3,2.64,7,1732
1970276,wta,Cincinnati WTA,hard,1. round,1,-1,Marketa Vondrousova,Czech Republic,172,59,22,42,14,19,13,14,6,195,83,61,33,4.32,1.98,1,1869,Belinda Bencic,Switzerland,175,63,24,11,4,23,14,13,6,328,175,154,85,5.6,1.89,2,1916
1970282,wta,Cincinnati,hard,1. round,2,,Jan-Lennard Struff,Germany,193,92,31,46,29,21,20,6,7,546,383,67,71,2.64,1.67,3,-,John Millman,Australia,183,79,32,42,33,14,19,5,7,435,289,257,154,-2.58,2.33,1,1732
