match_id,time_stamp,title,tour,round,surface,predict,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1977697,2021-09-07-04-00,US Open,wta,round of 16,hard,0.0,2,0.0,Shelby Rogers,USA,175,70,28,43,40,23,19,14,9,277,221,152,111,1.18,0,1785,2.36,Emma Raducanu,Great Britain,-,-,18,150,150,19,6,14,3,87,26,50,10,10.16,0,1564,1.65
1977691,2021-09-07-01-00,US Open,wta,round of 16,hard,1.63,1,-1.0,Belinda Bencic,Switzerland,175,63,24,12,4,29,15,19,7,334,176,160,86,8.0,0,1915,2.04,Iga Swiatek,Poland,176,65,20,8,7,31,10,15,6,155,43,46,19,-1.37,1,1971,1.88
1977685,2021-09-07-05-00,US Open,atp,round of 16,hard,2.0,2,0.13,Oscar Otte,Germany,193,79,28,144,129,34,15,6,1,407,229,42,27,2.23,0,1606,6.95,Matteo Berrettini,Italy,196,95,25,8,8,36,8,12,3,287,135,112,52,4.96,1,1961,1.13
1977699,2021-09-07-07-00,US Open,wta,round of 16,hard,1.59,1,-1.0,Karolina Pliskova,Czech Republic,186,72,29,4,1,33,16,19,9,611,329,288,145,2.46,6,1972,1.63,Anastasia Pavlyuchenkova,Russia,177,72,30,15,13,24,14,11,8,458,311,239,171,5.1,2,1882,2.4
1977698,2021-09-07-03-00,US Open,atp,round of 16,hard,1.27,2,-1.0,Reilly Opelka,USA,211,102,24,24,23,19,16,13,9,197,148,93,74,4.13,1,1833,1.9,Lloyd Harris,RSA,193,80,24,46,46,26,17,20,8,307,148,231,83,10.46,1,1800,1.99
1977700,2021-09-07-02-00,US Open,atp,round of 16,hard,1.18,1,0.19,Alexander Zverev,Germany,198,90,24,4,3,41,11,23,4,388,207,150,79,7.15,1,2049,1.19,Jannik Sinner,Italy,188,76,20,16,15,33,18,21,8,154,85,48,28,-4.43,1,1914,5.29
