match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1993499,2021-10-26-21-10,Vienna,atp,1. round,indoors,1,1.31,0.32,Felix Auger Aliassime,Canada,193,88,21,12,11,33,21,0,2,220,133,32,23,2.33,0,-,1.32,Ricardas Berankis,Lithuania,175,77,31,99,50,23,22,6,5,551,350,182,96,-5.81,0,-,3.66
1994481,2021-10-26-21-55,Saint Petersburg,atp,1. round,indoors,2,1.34,-1,Van De Zandschulp,Netherlands,188,83,26,69,61,51,22,4,3,272,137,90,32,12.3,0,-,1.61,Yoshihito Nishioka,Japan,170,64,26,82,48,18,24,4,3,363,205,44,25,-0.98,0,-,2.44
1994482,2021-10-26-23-15,Saint Petersburg,atp,1. round,indoors,2,1.63,0.71,Egor Gerasimov,Belarus,196,86,28,105,65,22,27,13,6,393,270,149,89,-8.96,0,-,2.25,Mackenzie McDonald,USA,178,73,26,56,55,41,23,8,3,246,172,39,27,6.0,0,-,1.71
1993517,2021-10-26-21-45,Saint Petersburg,atp,1. round,indoors,2,1.49,-1,Federico Delbonis,Argentina,193,90,31,41,33,29,22,0,1,528,356,18,31,-0.28,2,-,1.78,Pablo Andujar,Spain,180,80,35,92,32,19,20,0,1,564,467,28,44,4.77,6,-,2.14
1993500,2021-10-26-22-50,Vienna,atp,1. round,indoors,1,1.27,0.52,Cameron Norrie,Great Britain,188,82,26,14,14,51,20,4,2,272,155,37,31,21.64,2,-,1.52,Marton Fucsovics,Hungary,188,82,29,39,31,26,20,8,3,420,299,115,84,1.59,0,-,2.69
1993514,2021-10-26-23-25,Saint Petersburg,atp,1. round,indoors,1,1.4,0.11,John Millman,Australia,183,79,32,57,33,21,24,6,5,442,294,56,33,-1.98,0,-,1.11,Yshai Oliel,Israel,188,78,21,373,371,40,21,0,0,178,95,0,3,1.07,0,-,7.61
1993493,2021-10-26-22-10,Vienna,atp,1. round,indoors,1,1.57,-1,Casper Ruud,Norway,183,77,22,8,8,49,13,1,0,264,157,29,24,9.42,2,-,1.80,Lloyd Harris,RSA,193,80,24,31,31,33,21,3,2,314,152,31,21,9.19,0,-,2.11
1994185,2021-10-26-21-15,Courmayeur WTA,wta,1. round,indoors,2,0.0,0,Stephanie Wagner,Germany,-,-,27,316,263,26,15,6,2,148,105,29,17,-0.03,0,-,7.44,Ludmilla Samsonova,Russia,180,67,22,42,42,34,21,3,2,241,143,51,28,7.65,0,-,1.12
1993921,2021-10-26-23-00,Courmayeur WTA,wta,1. round,indoors,2,1.67,0.2,Jessica Pieri,Italy,160,48,24,284,205,30,23,2,3,211,158,17,22,-1.42,0,-,5.02,Shuai Zhang,China,177,66,32,58,23,17,24,0,2,522,367,25,16,-10.38,0,-,1.20
1993572,2021-10-26-20-35,Cluj-Napoca 2 WTA,wta,1. round,indoors,2,1.28,-1,Irina Begu,Romania,181,67,31,57,22,21,16,0,0,465,313,37,25,5.78,1,-,1.20,Maria Bara Irina,Romania,164,80,26,138,112,32,22,1,3,347,228,18,23,-6.47,0,-,5.09
1994181,2021-10-26-20-55,Courmayeur WTA,wta,1. round,indoors,1,0.0,0,Donna Vekic,Croatia,179,64,25,97,19,14,16,0,0,301,228,35,37,-1.62,0,-,1.73,Qinwen Zheng,China,-,-,19,151,151,27,8,11,2,93,36,20,4,3.34,0,-,2.22
1994483,2021-10-27-01-30,Saint Petersburg,atp,1. round,indoors,1,1.52,-1,Harry Fritz Taylor,USA,193,86,23,28,24,26,19,0,0,261,181,31,28,7.09,0,-,1.83,Emil Ruusuvuori,Finland,188,79,22,72,66,31,25,5,4,195,99,72,25,-0.92,0,-,2.07
1993490,2021-10-27-00-15,Vienna,atp,1. round,indoors,1,1.45,0.47,Stefanos Tsitsipas,Greece,193,89,23,3,3,54,16,5,2,376,180,61,33,-1.0,1,-,1.47,Grigor Dimitrov,Bulgaria,191,81,30,22,3,22,16,0,0,516,310,90,57,5.46,2,-,2.89
1993501,2021-10-27-02-00,Vienna,atp,1. round,indoors,2,1.64,0.17,Filip Krajinovic,Serbia,185,75,29,40,26,19,19,3,3,462,272,71,53,-4.23,0,-,5.63,Alexander Zverev,Germany,198,90,24,4,3,47,13,1,1,394,209,64,36,6.39,2,-,1.17
