match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2047054,2022-03-05-04-00,Lyon WTA,wta,quarterfinal,indoors,2,2,0.23,Anna Bondar,Hungary,-,-,24,79,79,6,5,2,1,311,149,11,12,1.03,0,-,4.75,5,Sorana-Mihaela Cirstea,Romania,176,59,31,30,21,8,5,3,1,496,371,49,50,2.73,1,-,1.23,7
2047388,2022-03-05-01-35,Lyon WTA,wta,quarterfinal,indoors,1,1,1.95,Caroline Garcia,France,177,61,28,74,4,4,5,2,0,384,303,57,50,10.98,1,-,2.95,5,Alison Van Uytvanck,Belgium,173,63,27,55,37,5,5,2,1,363,245,133,52,-2.07,1,-,1.46,5
2047448,2022-03-05-13-05,Monterrey,wta,quarterfinal,hard,2,2,2.26,Elina Svitolina,Ukraine,174,60,27,15,3,5,5,5,5,462,236,264,118,-3.08,0,1912,1.39,5,Osorio Serrano Maria,Colombia,-,-,20,44,44,4,2,4,2,130,64,44,27,0.89,1,-,3.26,7
2047430,2022-03-05-15-35,Monterrey,wta,quarterfinal,hard,2,1,-1,Qiang Wang,China,172,60,30,116,12,7,4,7,4,451,281,318,189,7.59,0,1754,2.83,7,Annie Fernandez Leylah,Canada,158,48,19,21,19,3,2,3,2,114,71,73,39,0.58,0,1867,1.49,6
