match_id,time_stamp,title,predict,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1976915,2021-09-04-01-00,"atp, US Open, 3. round, hard",1.27,2,-1.0,Henri Laaksonen,Switzerland,185,78,29,130,93,30,18,8,4,419,334,96,79,14.85,2,1635,1.71,Peter Gojowczyk,Germany,188,83,32,141,39,30,20,8,3,585,431,185,131,8.76,1,1625,2.27
1977097,2021-09-04-06-00,"wta, US Open, 3. round, hard",1.18,1,0.69,Angelique Kerber,Germany,173,68,33,17,1,25,12,10,6,683,357,351,174,9.42,1,1895,1.69,A. Stephens Sloane,USA,170,61,28,66,3,18,15,5,8,332,232,181,141,4.55,5,1768,2.25
1976911,2021-09-04-01-00,"wta, US Open, 3. round, hard",1.18,2,-1.0,Elena Rybakina,Kazakhstan,184,73,22,20,17,27,17,15,11,198,93,75,40,-3.65,1,1879,2.05,Simona Halep,Romania,168,60,29,13,1,15,6,11,3,543,225,238,105,-1.74,1,1956,1.85
1976894,2021-09-04-02-00,"wta, US Open, 3. round, hard",1.0,2,-1.0,Viktoria Azarenka,Belarus,180,60,32,19,1,21,7,11,4,567,215,328,112,-1.48,2,1968,1.93,Garbine Muguruza,Spain,182,73,27,10,1,33,13,26,8,448,226,226,108,-1.45,2,2001,1.94
1976919,2021-09-04-03-00,"wta, US Open, 3. round, hard",0.0,1,0.0,Barbora Krejcikova,Czech Republic,178,62,25,9,9,41,12,23,8,362,182,75,55,11.47,0,1954,1.12,Kamilla Rakhimova,Russia,-,-,20,134,128,24,17,9,6,114,58,42,19,2.78,0,1543,7.29
1976893,2021-09-04-04-30,"wta, US Open, 3. round, hard",1.0,1,0.47,Elina Svitolina,Ukraine,174,60,26,5,3,33,16,25,9,451,227,253,109,2.89,5,1962,1.47,Darya Kasatkina,Russia,170,62,24,27,10,35,16,18,8,262,144,103,74,6.35,0,1913,2.83
1976920,2021-09-04-03-30,"atp, US Open, 3. round, hard",1.74,1,-1.0,Carlos Alcaraz,Spain,185,72,18,55,54,36,15,13,6,104,34,26,8,3.63,0,1765,5.0,Stefanos Tsitsipas,Greece,193,89,23,3,3,50,14,23,6,372,178,155,85,0.17,0,2040,1.21
1976896,2021-09-04-03-00,"atp, US Open, 3. round, hard",1.87,2,0.01,Pablo Andujar,Spain,180,80,35,74,32,16,15,3,4,561,462,48,96,8.32,0,1642,24.62,Daniil Medvedev,Russia,198,83,25,2,2,42,10,26,4,366,162,148,53,-0.79,0,2099,1.01
1976963,2021-09-04-07-00,"atp, US Open, 3. round, hard",1.69,2,0.21,Alex Molcan,Slovakia,178,73,23,138,136,50,17,8,2,195,112,49,23,17.63,0,1674,4.92,Diego Schwartzman,Argentina,170,64,29,14,8,25,15,12,7,563,322,81,73,-7.53,0,1858,1.21
1976895,2021-09-04-02-30,"atp, US Open, 3. round, hard",1.63,2,0.83,Alexei Popyrin,Australia,196,78,22,73,61,26,19,12,9,181,135,95,68,6.64,0,1676,2.08,Daniel Evans,Great Britain,175,75,31,27,25,21,17,9,8,536,322,232,128,8.29,1,1808,1.83
1976916,2021-09-04-04-30,"atp, US Open, 3. round, hard",0.0,1,0.0,De Van,Netherlands,188,83,25,117,117,43,19,13,3,264,134,24,10,10.1,0,-,1.46,Facundo Bagnis,Argentina,183,82,31,80,55,34,19,2,3,572,389,30,43,5.75,0,1607,2.92
