match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
1998336,2021-11-11-22-00,Next Gen ATP Finals,atp,-,indoors,1,1.0,0.06,Carlos Alcaraz,Spain,185,72,18,32,32,45,19,7,3,113,38,7,3,10.23,0,-,1.06,7,Manuel Cerundolo Juan,Argentina,183,68,19,91,85,51,26,0,2,132,76,0,3,9.83,0,-,11.45,6
2000189,2021-11-11-22-00,Stockholm,atp,quarterfinal,indoors,2,1.0,-1,Van De Zandschulp,Netherlands,188,83,26,61,61,56,23,9,4,277,138,95,33,17.54,0,-,2.85,8,Felix Auger Aliassime,Canada,193,88,21,11,11,37,23,4,4,224,135,36,25,2.41,0,-,1.49,5
2000066,2021-11-11-20-10,Stockholm,atp,quarterfinal,indoors,2,1.66,0.72,Daniel Evans,Great Britain,175,75,31,26,22,25,22,1,2,540,327,160,86,7.31,3,-,2.26,5,Frances Tiafoe,USA,188,86,23,41,29,40,26,8,3,271,193,40,35,9.59,2,-,1.72,8
2000203,2021-11-12-04-00,Linz,wta,semifinal,indoors,1,1.0,5.64,Adina Cristian Jaqueline,Romania,180,-,23,100,100,37,25,17,6,240,162,43,27,9.84,0,-,6.64,7,Simona Halep,Romania,168,60,30,22,1,25,10,8,2,553,229,56,35,-2.84,1,-,1.14,8
2000137,2021-11-12-02-00,Linz,wta,semifinal,indoors,1,1.8,-1,Alison Riske,USA,175,66,31,73,18,14,16,5,2,393,316,58,29,-3.06,1,-,3.14,6,Danielle Collins,USA,178,64,27,29,23,37,14,2,0,192,117,5,3,5.31,1,-,1.42,7
1998346,2021-11-12-03-30,Next Gen ATP Finals,atp,-,indoors,1,1.6,-1,Sebastian Baez,Argentina,170,70,20,111,111,50,15,1,1,154,62,1,2,11.56,0,-,2.23,8,Hugo Gaston,France,173,68,21,67,67,44,29,10,9,147,98,34,38,13.4,0,-,1.72,6
2000188,2021-11-12-02-15,Stockholm,atp,quarterfinal,indoors,2,1.49,-1,Andy Murray,Great Britain,190,83,34,143,1,20,15,12,8,804,265,150,49,-1.51,0,-,1.63,6,Tommy Paul,USA,185,82,24,52,50,30,23,9,4,301,181,37,25,-0.3,0,-,2.44,7
1998341,2021-11-12-05-05,Next Gen ATP Finals,atp,-,indoors,1,1.0,0.34,Sebastian Korda,USA,193,75,21,39,38,34,19,11,4,160,102,28,15,6.64,0,-,1.34,6,Lorenzo Musetti,Italy,185,75,19,58,57,36,30,10,9,117,78,29,21,-6.51,1,-,3.53,4
2000104,2021-11-12-04-55,Stockholm,atp,quarterfinal,indoors,2,1.0,-1,Arthur Rinderknech,France,196,86,26,60,60,54,28,26,13,215,124,66,39,8.1,0,-,3.35,5,Denis Shapovalov,Canada,185,75,22,18,10,28,22,2,2,234,145,45,32,-10.62,0,-,1.38,5
1999711,2021-11-12-05-15,Masters Cup WTA,wta,-,hard,1,1.48,0.77,Maria Sakkari,Greece,172,62,26,6,6,36,18,21,11,377,249,182,122,6.27,2,1999,1.77,6,Iga Swiatek,Poland,176,65,20,9,4,35,13,17,8,159,46,48,21,-2.87,0,1970,2.15,7
