match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2085271,2022-05-05-21-35,Saint-Malo WTA,wta,round of 16,clay,2,1,-1,Elsa Jacquemot,France,-,-,19,233,233,16,9,7,3,60,52,28,22,-0.31,0,1375,3.78,7,Claire Liu,USA,-,-,21,86,83,10,8,3,1,179,114,66,29,-1.66,0,1667,1.28,5
2086019,2022-05-05-22-20,Madrid - Masters,atp,round of 16,clay,1,1,0.32,Hubert Hurkacz,Poland,196,81,25,14,9,19,7,5,1,294,180,84,51,5.17,2,1879,1.32,8,Dusan Lajovic,Serbia,183,83,31,77,23,9,13,6,5,520,406,335,218,4.0,0,1670,3.77,5
2085897,2022-05-05-23-00,Madrid WTA,wta,semifinal,clay,2,2,0.55,Ekaterina Alexandrova,Russia,180,66,27,45,25,15,8,11,2,396,228,166,97,1.5,6,1792,2.63,8,Ons Jabeur,Tunis,167,66,27,10,7,18,7,10,2,384,212,124,55,3.45,1,1960,1.55,8
2085215,2022-05-05-23-10,Saint-Malo WTA,wta,round of 16,clay,2,2,0.64,Fiona Ferro,France,170,56,25,146,39,5,8,4,4,253,204,162,103,-5.76,0,1642,2.31,4,Maryna Zanevska,Belgium,175,59,28,70,68,6,5,1,0,456,256,222,120,0.66,0,1654,1.64,5
2086109,2022-05-05-23-50,Madrid - Masters,atp,round of 16,clay,2,1,-1,Lorenzo Musetti,Italy,185,75,20,63,56,16,11,10,3,133,90,82,45,4.98,0,1772,4.14,8,Alexander Zverev,Germany,198,90,25,3,3,18,7,4,2,424,218,142,73,-4.08,0,2087,1.28,7
2086017,2022-05-06-00-30,Madrid - Masters,atp,round of 16,clay,1,1,0.11,Rafael Nadal,Spain,185,85,35,4,1,21,1,1,0,1155,241,508,53,6.57,5,2058,1.11,9,David Goffin,Belgium,180,70,31,60,7,19,12,11,2,584,318,190,90,3.56,2,1800,7.99,8
2085137,2022-05-06-01-05,Saint-Malo WTA,wta,round of 16,clay,1,1,0.61,Magdalena Frech,Poland,-,-,24,88,86,10,11,2,2,340,212,143,91,-4.26,1,1645,1.61,5,Diane Parry,France,-,-,19,97,97,6,9,2,2,118,84,96,56,-6.04,0,1526,2.38,4
2086123,2022-05-06-01-30,Madrid - Masters,atp,round of 16,clay,2,1,-1,Grigor Dimitrov,Bulgaria,191,81,30,20,3,14,8,7,2,532,320,160,92,4.1,2,1862,3.6,7,Stefanos Tsitsipas,Greece,193,89,23,5,3,25,8,8,1,402,191,145,46,-0.36,3,2057,1.34,8
2086115,2022-05-06-01-30,Madrid - Masters,atp,round of 16,clay,1,1,1.49,Felix Auger Aliassime,Canada,193,88,21,10,9,20,10,5,4,245,146,99,51,4.11,0,1879,2.49,5,Jannik Sinner,Italy,188,76,20,12,9,21,4,5,1,191,95,61,35,3.16,0,2009,1.61,8
2085957,2022-05-06-04-20,Madrid - Masters,atp,round of 16,clay,2,2,0.14,Cameron Norrie,Great Britain,188,82,26,11,10,19,10,4,2,296,170,43,28,0.66,0,1914,6.66,6,Carlos Alcaraz,Spain,185,72,19,9,9,24,3,11,1,140,41,88,25,5.05,2,2106,1.14,9
2086095,2022-05-06-07-25,Madrid WTA,wta,semifinal,clay,2,2,0.96,Belen Teichmann Jil,Switzerland,170,80,24,35,31,12,9,5,1,250,175,155,79,2.65,0,-,1.94,6,Jessica Pegula,USA,170,70,28,14,13,17,9,5,1,337,209,101,67,2.92,0,1827,1.96,7
