match_id,tour,title,surface,round,winner,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1970288,atp,Cincinnati,hard,1. round,2,1.38,Miomir Kecmanovic,Serbia,183,75,21,58,38,12,19,6,9,203,131,86,57,-9.74,1.65,0,1705,Benoit Paire,France,196,80,32,50,18,10,25,3,8,540,437,132,124,-10.14,2.38,2,1648
1970595,atp,Cincinnati,hard,Qualification - round of 16,2,-1,Steve Johnson,USA,188,86,31,79,21,10,12,7,7,345,263,219,155,3.32,2.19,4,1714,Kevin Anderson,RSA,203,94,35,76,5,14,11,4,5,582,340,351,175,-2.29,1.69,5,1812
1970696,atp,Cincinnati,hard,Qualification - round of 16,2,-1,Dominik Koepfer,Germany,180,79,27,59,50,22,20,8,7,231,150,111,65,0.05,1.84,2,1731,Marcos Giron,USA,180,77,28,66,64,19,16,7,6,334,198,258,140,7.75,1.98,1,1747
1970597,atp,Cincinnati,hard,Qualification - round of 16,1,-1,Richard Gasquet,France,183,79,35,53,7,16,11,4,2,711,389,257,153,-1.63,1.55,1,1772,Jaume Munar,Spain,183,76,24,68,52,32,18,1,1,291,190,46,36,-5.2,2.47,1,1640
1970589,wta,Cincinnati WTA,hard,Qualification - round of 16,2,1.19,Marie Bouzkova,Czech Republic,180,61,23,74,46,14,16,11,9,261,148,174,76,-8.9,1.69,0,1720,Shuai Zhang,China,177,66,32,51,23,14,16,4,4,519,359,375,226,-3.31,2.19,2,1769
1970697,atp,Cincinnati,hard,Qualification - round of 16,2,0.94,Alexei Popyrin,Australia,196,78,22,74,61,21,18,7,8,176,134,90,67,3.49,1.88,0,1695,Corentin Moutet,France,175,68,22,90,67,14,13,7,2,219,144,36,30,5.56,1.94,4,1715
1970594,atp,Cincinnati,hard,Qualification - round of 16,2,-1,Ricardas Berankis,Lithuania,175,77,31,92,50,16,16,9,7,544,344,233,150,-3.02,2.19,0,1710,Yoshihito Nishioka,Japan,170,64,25,57,48,15,21,4,9,360,202,194,107,-0.32,1.69,1,1741
1970592,atp,Cincinnati,hard,Qualification - round of 16,1,1.02,Carlos Alcaraz,Spain,185,72,18,55,54,31,13,8,4,99,32,21,6,1.39,2.02,1,1765,Ilya Ivashka,Belarus,193,84,27,67,63,29,16,6,5,319,201,169,97,2.74,1.81,0,1798
1970695,wta,Cincinnati WTA,hard,Qualification - round of 16,1,,Annie Fernandez Leylah,Canada,158,48,18,70,66,15,14,11,7,103,66,62,34,-4.44,1.49,1,1768,Gabriela Ruse Elena,Romania,-,-,23,110,107,23,12,2,2,221,122,27,19,1.89,2.65,0,1679
1970593,atp,Cincinnati,hard,Qualification - round of 16,1,0.53,Tommy Paul,USA,185,82,24,56,50,19,16,8,8,290,174,145,94,-3.51,1.53,3,1735,Tennys Sandgren,USA,188,88,30,85,41,8,17,4,7,402,279,221,151,-9.17,2.53,2,1641
1970588,wta,Cincinnati WTA,hard,Qualification - round of 16,1,-1,Caroline Garcia,France,177,61,27,63,4,21,19,11,9,374,291,168,139,-7.56,1.94,1,1748,Fiona Ferro,France,170,56,24,84,39,13,15,5,6,241,188,48,41,-1.99,1.87,1,1716
1970590,wta,Cincinnati WTA,hard,Qualification - round of 16,2,0.33,Anna Blinkova,Russia,179,70,22,82,54,15,19,5,9,198,133,79,57,-9.23,3.40,0,1618,Ludmilla Samsonova,Russia,180,67,22,52,52,29,16,13,6,236,138,58,33,8.64,1.33,2,1819
1970675,wta,Cincinnati WTA,hard,Qualification - round of 16,1,-1,Jasmine Paolini,Italy,160,60,25,98,87,21,15,7,7,282,197,69,56,4.55,4.50,1,1627,Donna Vekic,Croatia,179,64,25,56,19,11,11,7,7,298,223,176,114,2.29,1.21,0,1783
1970674,wta,Cincinnati WTA,hard,Qualification - round of 16,2,-1,Rebecca Peterson,Sweden,173,65,26,53,43,14,13,6,6,285,170,135,71,0.1,1.59,2,1713,Heather Watson,Great Britain,170,64,29,67,38,10,14,6,7,369,281,180,147,-3.59,2.39,1,1637
1970694,wta,Cincinnati WTA,hard,Qualification - round of 16,2,0.81,Lauren Davis,USA,157,55,27,95,26,16,17,6,8,319,227,180,140,-4.72,2.03,0,1664,Su-Wei Hsieh,Taipei (CHN),169,57,35,73,23,10,11,9,4,496,341,341,211,3.13,1.81,1,1758
1970591,wta,Cincinnati WTA,hard,Qualification - round of 16,1,-1,Aliaksandra Sasnovich,Belarus,174,60,27,90,30,17,15,5,5,339,218,120,82,1.57,2.04,1,1711,Andrea Petkovic,Germany,180,69,33,68,9,19,16,3,5,529,358,173,141,0.59,1.79,1,1757
