match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1983934,2021-09-25-20-30,Nur-Sultan,atp,semifinal,indoors,1,1.6,-1,Woo Kwon Soon,South Korea,180,72,23,82,69,25,18,12,2,239,145,40,17,1.1,0,-,2.77,Alexander Bublik,Kazakhstan,198,77,24,34,34,31,24,6,2,272,182,79,46,4.4,1,-,1.51
1983945,2021-09-25-22-10,Ostrava WTA,wta,semifinal,indoors,2,1.48,-1,Iga Swiatek,Poland,176,65,20,6,6,33,11,2,0,157,44,15,3,-1.33,0,-,1.8,Maria Sakkari,Greece,172,62,26,12,12,33,15,2,0,374,246,13,14,7.01,1,-,2.13
1983944,2021-09-25-22-10,Metz,atp,semifinal,indoors,1,1.46,0.44,Hubert Hurkacz,Poland,196,81,24,13,11,27,16,3,2,266,166,42,39,12.48,1,-,1.44,Peter Gojowczyk,Germany,188,83,32,101,39,36,21,16,6,591,432,192,121,13.15,0,-,3.02
1983996,2021-09-26-00-05,Metz,atp,semifinal,indoors,2,1.6,1.01,Gael Monfils,France,193,85,35,20,6,11,13,2,0,611,340,148,65,-3.12,3,-,1.89,Pablo Carreno-Busta,Spain,188,78,30,16,10,34,13,2,0,554,294,34,31,6.65,2,-,2.01
1983968,2021-09-26-01-10,Columbus WTA,wta,semifinal,indoors,2,0.0,0,Saisai Zheng,China,170,62,27,83,34,14,13,3,0,345,233,33,14,-0.78,0,-,1.88,Nuria Parrizas-Diaz,Spain,-,-,30,86,86,51,15,3,2,483,292,24,18,18.32,0,-,2.03
1983999,2021-09-26-00-20,Ostrava WTA,wta,semifinal,indoors,1,1.51,-1,Anett Kontaveit,Estonia,174,65,25,30,14,29,14,3,0,362,182,58,27,1.85,2,-,1.95,Petra Kvitova,Czech Republic,183,70,31,10,2,28,15,2,0,606,261,120,44,-3.83,5,-,1.95
1984031,2021-09-26-03-15,Laver Cup,atp,-,indoors,1,1.53,-1,Stefanos Tsitsipas,Greece,193,89,23,3,3,50,15,4,2,372,179,60,33,-0.81,0,-,1.38,Nick Kyrgios,Australia,193,85,26,95,13,7,7,0,0,257,144,18,10,-2.5,2,-,3.17
1983998,2021-09-26-04-10,Columbus WTA,wta,semifinal,indoors,2,1.54,0.73,Coco Vandeweghe,USA,185,70,29,153,9,12,13,3,0,325,264,15,10,-3.69,0,-,2.24,Xinyu Wang,China,182,75,19,129,129,25,17,7,3,126,76,17,8,-1.95,1,-,1.73
