match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2151323,2022-07-27-21-20,Warsaw WTA,wta,1. round,clay,1,1,1.03,Sara Errani,Italy,164,58,35,127,5,21,16,14,8,632,446,344,190,5.17,4,1622,2.03,7,Arantxa Rus,Netherlands,180,65,31,75,61,21,21,15,9,613,378,358,169,-11.74,1,1598,1.86,5
2148803,2022-07-27-21-40,Warsaw WTA,wta,1. round,clay,1,1,0.04,Elisabetta Cocciaretto,Italy,-,-,21,105,105,29,12,27,9,126,63,101,46,4.3,0,1708,1.04,5,Martyna Kubka,Poland,-,-,21,472,467,11,10,6,6,80,56,29,26,2.02,0,-,14.17,5
2152395,2022-07-27-22-35,Kitzbühel,atp,round of 16,clay,2,2,1.27,Pablo Andujar,Spain,180,80,36,98,32,20,17,17,12,585,485,500,319,-4.47,0,1644,1.71,9,Filip Misolic,Austria,-,-,20,205,194,28,12,25,9,99,47,90,38,2.29,0,1550,2.27,6
2148801,2022-07-27-23-05,Warsaw WTA,wta,1. round,clay,1,1,0.04,Iga Swiatek,Poland,176,65,21,1,1,46,4,16,0,206,52,100,14,8.54,0,2196,1.04,9,Magdalena Frech,Poland,-,-,24,82,82,24,20,12,7,354,221,153,96,-3.63,0,1661,14.15,8
2151481,2022-07-28-00-00,Kitzbühel,atp,round of 16,clay,1,2,-1,Jiri Lehecka,Czech Republic,183,80,20,68,65,29,21,19,11,154,85,99,50,0.91,0,1650,1.65,6,Joao Sousa,Portugal,185,74,33,61,28,21,24,9,10,575,484,305,236,3.13,0,1615,2.39,2
2151523,2022-07-28-00-00,Warsaw WTA,wta,round of 16,clay,2,2,2.58,Nadia Podoroska,Argentina,170,60,25,211,36,11,5,8,3,326,174,213,104,-1.03,0,1719,1.33,7,Laura Pigossi,Brazil,-,-,27,113,113,21,19,17,11,334,269,221,172,5.84,0,1472,3.58,5
2152707,2022-07-28-00-10,Umag,atp,round of 16,clay,2,1,-1,Alex Molcan,Slovakia,178,73,24,38,38,26,18,17,9,237,137,149,79,4.16,0,1808,1.53,7,Roberto Carballes Baena,Spain,183,77,29,86,71,32,25,31,18,522,347,472,279,-9.41,1,1678,2.7,7
2151857,2022-07-28-00-10,Umag,atp,round of 16,clay,1,2,-1,Giulio Zeppieri,Italy,185,78,20,168,164,20,19,18,15,89,75,83,60,-0.04,1,1597,2.38,5,Elahi Galan Daniel,Colombia,191,72,26,99,99,36,20,30,15,318,247,221,152,11.51,0,-,1.65,6
2152757,2022-07-28-00-35,Kitzbühel,atp,round of 16,clay,2,1,-1,Sebastian Ofner,Austria,191,81,26,235,126,23,11,20,9,307,221,153,114,6.09,1,1635,4.72,8,Dominic Thiem,Austria,185,79,28,199,3,7,10,7,10,476,243,257,95,-3.84,1,1728,1.23,7
2148815,2022-07-28-00-50,Warsaw WTA,wta,1. round,clay,1,1,0.07,Petra Martic,Croatia,181,63,31,56,14,25,14,13,4,413,289,172,93,11.36,0,1829,1.07,8,Weronika Falkowska,Poland,-,-,22,346,298,26,17,21,9,136,75,51,32,-3.8,0,-,10.76,6
