match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1991231,2021-10-18-22-20,Moscow,atp,1. round,indoors,1,1.56,-1,John Millman,Australia,183,79,32,62,33,19,23,4,4,440,293,54,32,-2.63,0,-,2.1,Benjamin Bonzi,France,185,76,25,63,61,57,24,20,10,348,196,80,60,4.26,0,-,1.81
1991218,2021-10-18-21-55,Tenerife WTA,wta,1. round,hard,2,0.0,0,Nuria Parrizas-Diaz,Spain,-,-,30,65,65,53,16,23,5,485,293,332,165,19.29,0,2140,2.14,Ann Li,USA,160,50,21,60,60,18,13,14,8,131,81,87,52,0.59,0,1748,1.78
1991955,2021-10-18-23-00,Moscow,wta,1. round,indoors,2,0.0,0,Qinwen Zheng,China,-,-,19,158,154,25,7,9,1,91,35,18,3,3.82,0,-,1.9,Lesya Tsurenko,Ukraine,174,67,32,145,23,21,13,7,2,435,291,83,41,-4.8,0,-,1.99
1991956,2021-10-18-21-35,Moscow,wta,1. round,indoors,2,1.5,1.0,Alexandra Krunic,Serbia,163,53,28,144,39,34,15,6,2,355,253,44,36,2.97,0,-,1.89,Bernarda Pera,USA,175,80,26,100,59,21,22,3,1,352,200,39,25,-7.7,1,-,2.0
1991392,2021-10-19-02-10,Antwerp,atp,1. round,indoors,2,1.4,-1,Richard Gasquet,France,183,79,35,73,7,23,16,5,2,718,394,146,84,-3.49,0,-,1.57,Dusan Lajovic,Serbia,183,83,31,33,23,16,24,1,3,508,389,62,63,-1.34,1,-,2.55
1991941,2021-10-19-01-10,Moscow,atp,1. round,indoors,2,1.55,0.52,Damir Dzumhur,Bosnia and Herzeg.,175,68,29,137,23,32,29,2,1,478,314,82,55,-11.02,0,-,2.70,Marin Cilic,Croatia,198,89,33,41,3,22,17,2,1,653,350,126,69,-3.49,1,-,1.52
1991391,2021-10-19-00-40,Antwerp,atp,1. round,indoors,2,1.57,0.3,Federico Delbonis,Argentina,193,90,31,40,33,29,21,0,0,528,355,18,30,0.72,0,-,3.82,Arthur Rinderknech,France,196,86,26,65,65,50,25,22,10,211,121,62,36,9.37,1,-,1.30
1991951,2021-10-19-01-45,Tenerife WTA,wta,1. round,hard,2,0.0,0,Kaja Juvan,Slovenia,170,58,20,96,90,21,18,16,8,158,75,43,24,-2.36,0,1686,1.71,Anna Schmiedlova Karolina,Slovakia,-,-,27,90,26,34,21,13,8,352,232,115,92,-0.36,2,1698,2.25
1991949,2021-10-19-00-40,Tenerife WTA,wta,1. round,hard,2,1.59,1.04,Shuai Zhang,China,177,66,32,55,23,17,23,7,9,522,366,378,231,-9.38,0,1747,1.85,Xinyu Wang,China,182,75,20,114,114,28,20,9,7,129,79,85,52,-3.49,0,2140,2.04
1991952,2021-10-19-02-10,Tenerife WTA,wta,1. round,hard,1,1.59,-1,Adina Cristian Jaqueline,Romania,180,-,23,108,108,30,22,4,4,233,159,80,50,5.24,0,2140,2.24,Tamara Zidansek,Slovenia,167,80,23,33,33,30,19,9,12,266,121,60,47,7.68,0,1721,1.71
