match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2115437,2022-06-11-21-45,Nottingham,wta,semifinal,grass,1,1,0.47,Alison Riske,USA,175,66,31,40,18,15,10,3,0,410,326,82,35,3.47,1,1795,1.47,6,Viktorija Golubic,Switzerland,169,56,29,55,35,13,13,3,0,431,263,27,20,-2.96,1,1718,2.91,5
2115349,2022-06-11-22-30,Hertogenbosch,atp,semifinal,grass,1,2,-1,Tim Van Rijthoven,Netherlands,188,89,25,205,175,25,13,3,1,225,129,3,1,5.42,1,1502,6.09,5,Felix Auger Aliassime,Canada,193,88,21,9,9,28,13,2,0,253,149,20,8,4.53,0,1916,1.16,7
2115421,2022-06-11-23-40,Stuttgart,atp,semifinal,grass,1,2,-1,Andy Murray,Great Britain,190,83,35,68,1,18,9,6,1,824,276,114,33,1.53,5,1801,2.28,8,Nick Kyrgios,Australia,193,85,27,78,13,12,4,3,0,269,149,37,17,3.88,2,1826,1.71,8
2115419,2022-06-12-01-00,Hertogenbosch,atp,semifinal,grass,1,2,-1,Daniil Medvedev,Russia,198,83,26,2,1,21,7,2,0,408,172,37,16,-2.75,1,1924,1.25,7,Adrian Mannarino,France,180,79,33,70,22,14,16,3,1,627,489,80,51,6.06,3,1708,4.4,4
2115347,2022-06-12-01-10,Valencia WTA,wta,semifinal,clay,2,1,-1,Mirjam Bjorklund,Sweden,-,-,23,134,134,19,9,14,4,176,106,119,59,3.51,0,1368,2.44,8,Xiyu Wang,China,181,66,21,111,103,27,13,20,7,145,91,49,25,-0.62,0,1644,1.54,7
2115463,2022-06-12-03-10,Valencia WTA,wta,semifinal,clay,2,2,0.29,Nuria Parrizas-Diaz,Spain,-,-,30,51,45,17,13,9,6,502,308,133,114,2.84,0,-,3.64,6,Qinwen Zheng,China,-,-,19,54,54,23,9,7,3,123,48,51,16,5.45,0,1736,1.29,7
