match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1993268,2021-10-22-22-55,Tenerife WTA,wta,quarterfinal,hard,1,1.38,0.63,Camila Giorgi,Italy,168,54,29,36,26,25,16,13,8,391,284,157,123,8.04,0,1882,1.63,Arantxa Rus,Netherlands,180,65,30,61,61,37,20,4,7,591,355,134,112,0.25,2,1694,2.43
1993223,2021-10-22-21-35,Tenerife WTA,wta,quarterfinal,hard,2,1.56,1.22,Irina Begu,Romania,181,67,31,56,22,21,15,16,9,465,312,137,125,6.78,0,1777,1.75,Ann Li,USA,160,50,21,60,60,20,13,16,8,133,81,89,52,2.0,0,1748,2.22
1993166,2021-10-22-22-10,Moscow,wta,quarterfinal,indoors,1,1.38,0.69,Anett Kontaveit,Estonia,174,65,25,20,14,37,15,7,0,370,183,62,27,3.2,1,-,1.69,Garbine Muguruza,Spain,182,73,28,5,1,38,15,1,0,453,228,23,17,0.65,2,-,2.32
1993238,2021-10-22-23-00,Antwerp,atp,quarterfinal,indoors,2,1.54,0.58,Marton Fucsovics,Hungary,188,82,29,39,31,26,19,8,2,420,298,115,83,2.59,1,-,2.55,Lloyd Harris,RSA,193,80,24,32,31,32,20,2,1,313,151,30,20,9.65,1,-,1.58
1993173,2021-10-22-21-40,Moscow,atp,quarterfinal,indoors,2,1.63,0.5,Pedro Martinez,Spain,185,76,24,60,59,36,22,4,1,367,196,8,12,6.28,0,-,2.81,Marin Cilic,Croatia,198,89,33,41,3,24,17,4,1,655,350,128,69,-2.1,0,-,1.5
1993277,2021-10-22-23-00,Moscow,wta,quarterfinal,indoors,1,1.55,-1,Maria Sakkari,Greece,172,62,26,7,7,35,17,4,1,376,248,15,15,6.48,0,-,1.79,Simona Halep,Romania,168,60,30,19,1,19,8,2,0,547,227,50,33,-1.95,0,-,2.15
1993112,2021-10-23-00-55,Antwerp,atp,quarterfinal,indoors,1,1.34,0.24,Jannik Sinner,Italy,188,76,20,16,14,39,20,7,2,160,87,52,17,-4.11,0,-,1.24,Arthur Rinderknech,France,196,86,26,65,65,52,25,24,10,213,121,64,36,10.21,1,-,4.61
1993267,2021-10-23-02-00,Tenerife WTA,wta,quarterfinal,hard,2,0.0,0,Osorio Serrano Maria,Colombia,-,-,19,63,63,33,16,12,11,124,61,38,24,20.82,0,2140,2.04,Saisai Zheng,China,170,62,27,86,34,16,16,10,11,347,236,232,157,-0.65,0,1742,1.87
1993130,2021-10-23-01-30,Moscow,atp,quarterfinal,indoors,2,1.66,0.31,John Millman,Australia,183,79,32,62,33,21,23,6,4,442,293,56,32,-0.98,1,-,3.86,Karen Khachanov,Russia,198,87,25,31,8,32,21,5,3,320,220,95,65,-2.39,1,-,1.31
