match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2092711,2022-05-15-21-50,Strasbourg,wta,1. round,clay,1,2,-1,Magda Linette,Poland,171,59,30,54,33,12,12,7,5,430,313,161,106,0.35,0,1718,1.83,5,Varvara Gracheva,Russia,178,-,21,72,70,16,10,8,5,192,112,116,49,1.31,0,1645,2.07,6
2092675,2022-05-15-22-15,Paris WTA,wta,final,clay,1,2,-1,Claire Liu,USA,-,-,21,118,83,15,9,8,2,184,115,71,30,0.41,1,1667,1.79,8,Beatriz Haddad Maia,Brazil,185,78,25,52,52,25,10,11,3,385,187,185,89,6.65,1,1689,2.04,9
2093297,2022-05-15-22-50,Rabat,wta,1. round,clay,2,2,0.85,Rebecca Peterson,Sweden,173,65,26,77,43,12,7,4,3,312,186,108,72,2.27,0,1704,2.04,6,Petra Marcinko,Croatia,-,-,16,362,362,19,3,15,3,31,9,21,6,7.15,0,1556,1.85,8
2093577,2022-05-16-00-10,Rome,atp,final,clay,1,2,-1,Novak Djokovic,Serbia,187,80,34,1,1,11,4,9,3,1141,243,314,70,-0.76,6,2113,1.5,8,Stefanos Tsitsipas,Greece,193,89,23,5,3,31,9,14,2,408,192,151,47,0.85,3,2057,2.8,8
2092503,2022-05-16-01-10,Geneva,atp,1. round,clay,1,2,-1,Kamil Majchrzak,Poland,180,78,26,80,75,12,10,2,3,348,198,213,111,-2.25,1,1721,1.71,4,Alexander Bublik,Kazakhstan,198,77,24,41,30,12,11,1,4,288,199,52,47,4.03,1,1762,2.25,4
2093309,2022-05-16-01-30,Rabat,wta,1. round,clay,2,2,0.17,Irene Burillo Escorihuela,Spain,-,-,24,259,207,13,14,8,9,264,203,217,158,-0.62,0,1313,5.67,4,Ajla Tomljanovic,Australia,180,67,29,41,38,9,12,4,4,358,277,117,79,-6.18,0,1729,1.17,4
2092523,2022-05-16-01-35,Lyon,atp,1. round,clay,2,1,-1,Arthur Rinderknech,France,196,86,26,63,48,12,9,0,1,227,135,82,56,2.85,1,1754,4.16,4,Holger Rune,Denmark,185,68,19,42,42,20,12,14,6,138,68,94,40,1.13,0,1857,1.27,7
2093787,2022-05-16-19-05,Lyon,atp,1. round,clay,2,1,-1,Gregoire Barrere,France,183,80,28,209,80,15,13,6,5,383,289,113,87,3.2,1,1580,2.74,6,Ugo Humbert,France,188,73,23,45,25,4,12,2,5,229,153,29,38,-1.98,1,1667,1.51,3
2092709,2022-05-16-19-05,Strasbourg,wta,1. round,clay,1,2,-1,Ana Konjuh,Croatia,174,65,24,66,20,8,12,1,4,220,141,73,39,-3.93,0,1692,1.57,2,Oceane Dodin,France,183,59,25,94,46,11,13,5,3,335,210,67,58,-1.95,1,1608,2.55,5
2092527,2022-05-16-19-10,Lyon,atp,1. round,clay,1,2,-1,Woo Kwon Soon,South Korea,180,72,24,71,52,13,14,4,5,254,160,13,18,-3.62,0,-,1.48,4,Aljaz Bedene,Slovenia,183,73,32,175,43,1,3,1,1,492,268,301,132,-1.28,0,1735,2.85,4
2092701,2022-05-16-19-10,Strasbourg,wta,1. round,clay,1,2,-1,Maryna Zanevska,Belgium,175,59,28,65,65,8,6,3,1,458,257,224,121,1.35,0,1686,2.25,5,Shuai Zhang,China,177,66,33,41,23,13,12,2,4,541,383,86,87,5.25,1,1673,1.71,4
2094079,2022-05-16-20-00,Rabat,wta,1. round,clay,1,2,-1,Anna Schmiedlova Karolina,Slovakia,-,-,27,89,26,8,10,4,5,362,245,187,95,-2.55,0,1657,1.35,4,Ekaterina Reyngold,Russia,-,-,21,333,331,15,8,6,2,77,43,25,15,2.97,0,-,3.43,6
2093299,2022-05-16-20-00,Rabat,wta,1. round,clay,2,2,0.35,Marcela Zacarias,Mexico,-,-,28,243,181,19,11,0,5,374,184,75,62,-6.44,0,1336,3.47,2,Astra Sharma,Australia,178,80,26,144,84,5,10,2,2,171,110,53,25,-5.85,0,1546,1.35,4
2093291,2022-05-16-20-00,Rabat,wta,1. round,clay,2,2,0.15,Lulu Sun,Switzerland,-,-,21,276,276,9,8,6,4,141,81,29,26,-3.59,0,-,6.37,6,Arantxa Rus,Netherlands,180,65,31,76,61,13,14,8,4,605,371,351,164,-7.3,0,1619,1.15,7
2092519,2022-05-16-20-30,Lyon,atp,1. round,clay,2,1,-1,Lucas Pouille,France,185,84,28,163,10,7,11,3,4,331,245,128,79,-0.54,0,1652,2.61,4,Oscar Otte,Germany,193,79,28,60,53,13,13,6,4,441,247,236,121,-2.12,0,1738,1.55,6
