match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2082183,2022-05-02-20-10,Madrid - Masters,atp,1. round,clay,1,2,-1,Alex De Minaur,Australia,183,69,23,22,15,16,8,4,2,250,145,48,35,0.64,0,1804,1.53,6,Pedro Martinez,Spain,185,76,25,44,42,13,9,8,5,381,209,316,153,1.77,0,1783,2.68,6
2082185,2022-05-02-20-10,Madrid - Masters,atp,1. round,clay,2,2,0.26,Tommy Paul,USA,185,82,24,35,33,15,9,1,2,320,194,109,55,2.25,0,1825,4.33,6,Jannik Sinner,Italy,188,76,20,12,9,19,4,3,1,189,95,59,35,2.46,0,2009,1.26,7
2083333,2022-05-02-21-10,Madrid - Masters,atp,1. round,clay,2,2,0.83,Borna Coric,Croatia,188,85,25,264,12,1,4,0,2,273,194,75,52,-2.24,2,-,2.09,4,Dusan Lajovic,Serbia,183,83,31,77,23,7,13,4,5,518,406,333,218,-1.48,2,1670,1.83,4
2083203,2022-05-02-21-25,Saint-Malo WTA,wta,1. round,clay,2,2,0.83,Anna Schmiedlova Karolina,Slovakia,-,-,27,89,26,8,9,4,4,362,244,187,94,-1.55,2,1662,1.99,4,Tamara Korpatsch,Germany,170,56,26,109,107,15,7,11,4,321,212,241,120,9.22,1,1556,1.83,6
2083113,2022-05-02-21-50,Madrid WTA,wta,round of 16,clay,1,2,-1,Ons Jabeur,Tunis,167,66,27,10,7,16,7,8,2,382,212,122,55,0.7,1,1960,2.14,8,Belinda Bencic,Switzerland,175,63,25,13,4,17,6,8,0,359,188,75,40,3.36,2,1935,1.79,9
2083205,2022-05-02-22-00,Saint-Malo WTA,wta,1. round,clay,2,2,0.11,Jessika Ponchet,France,-,-,25,193,169,7,9,0,1,261,194,76,64,-4.79,0,1407,6.82,3,Magda Linette,Poland,171,59,30,56,33,9,10,4,3,427,311,158,104,1.43,0,1718,1.11,6
2083343,2022-05-02-22-40,Madrid - Masters,atp,1. round,clay,1,2,-1,Ilya Ivashka,Belarus,193,84,28,48,41,5,7,2,3,338,212,41,34,-1.65,0,1817,2.96,4,Lorenzo Musetti,Italy,185,75,20,63,56,14,11,8,3,131,90,80,45,2.88,0,1772,1.46,7
2082157,2022-05-02-23-15,Madrid - Masters,atp,1. round,clay,2,2,0.25,Carlos Gimeno Valero,Spain,188,80,20,369,259,11,9,11,9,70,36,61,31,-2.04,0,1475,4.47,5,Gael Monfils,France,193,85,35,21,6,11,5,0,0,629,349,184,108,4.47,0,1786,1.25,6
2083195,2022-05-03-00-00,Saint-Malo WTA,wta,1. round,clay,2,1,-1,Harmony Tan,France,-,-,24,107,90,9,10,1,2,278,221,119,105,3.27,0,1591,1.69,4,Anna Blinkova,Russia,179,70,23,135,54,19,11,9,5,219,150,54,39,-1.1,0,1561,2.19,5
2082171,2022-05-03-00-15,Madrid - Masters,atp,1. round,clay,1,2,-1,Nikoloz Basilashvili,Georgia,185,79,30,27,16,4,13,1,3,446,367,160,119,-6.63,0,1745,2.7,3,Fabio Fognini,Italy,178,79,34,51,9,11,7,8,4,622,468,401,239,1.33,1,1818,1.53,6
2083127,2022-05-03-01-10,Madrid WTA,wta,round of 16,clay,2,2,0.25,Cori Gauff,USA,176,59,18,16,15,12,8,2,1,98,51,32,14,-1.81,0,1888,4.44,6,Simona Halep,Romania,168,60,30,21,1,17,4,2,0,570,233,202,66,1.17,2,1986,1.25,7
2083339,2022-05-03-01-10,Madrid - Masters,atp,1. round,clay,1,1,0.22,Diego Schwartzman,Argentina,170,64,29,15,8,19,9,14,5,595,339,460,219,-0.27,4,1930,1.22,6,Benoit Paire,France,196,80,32,62,18,5,13,2,6,549,459,253,183,-0.62,1,1608,4.9,3
2083335,2022-05-03-01-25,Madrid - Masters,atp,1. round,clay,2,2,0.7,Aslan Karatsev,Russia,185,85,28,34,14,8,9,0,2,407,257,160,103,-2.86,0,1774,2.29,2,David Goffin,Belgium,180,70,31,60,7,17,12,9,2,582,318,188,90,1.87,0,1800,1.7,8
2083337,2022-05-03-01-40,Madrid - Masters,atp,1. round,clay,1,1,0.33,Cameron Norrie,Great Britain,188,82,26,11,10,17,10,2,2,294,170,41,28,-0.34,1,1914,1.33,6,Woo Kwon Soon,South Korea,180,72,24,73,52,13,12,4,3,254,158,13,16,-1.62,0,-,3.67,5
2083183,2022-05-03-01-40,Saint-Malo WTA,wta,1. round,clay,1,1,0.96,Madison Brengle,USA,174,60,32,54,35,9,9,0,2,541,401,110,105,6.46,2,1681,1.96,4,Lauren Davis,USA,157,55,28,90,26,9,8,1,2,332,239,76,48,-0.86,2,1661,1.86,5
2083193,2022-05-03-02-00,Saint-Malo WTA,wta,1. round,clay,2,2,1.42,Anna Kalinskaya,Russia,175,68,23,75,75,13,6,0,0,220,129,66,40,3.05,0,1718,1.57,7,Rebecca Marino,Canada,183,64,31,113,38,22,6,0,0,270,165,19,23,3.1,0,1597,2.42,8
