39,Fritz Taylor Harry,-1.36
42,Fucsovics Marton,1.63
45,Ivashka Ilya,5.77
40,Korda Sebastian,6.54
32,Raonic Milos,-2.53
36,Basilashvili Nikoloz,12.53
35,Lajovic Dusan,-0.34
34,Krajinovic Filip,-3.12
33,Goffin David,-3.84
38,Alcaraz Carlos,6.44
37,Bublik Alexander,3.4
173,Karatsev Aslan,12.58
29,Khachanov Karen,-3.36
28,Dimitrov Grigor,-1.68
27,De Minaur Alex,-11.3
30,Fognini Fabio,-2.32
25,Humbert Ugo,-4.85
26,Norrie Cameron,17.59
23,Isner John,10.36
22,Evans Daniel,8.12
18,Monfils Gael,-3.39
20,Opelka Reilly,2.14
17,Garin Cristian,-5.58
21,Sonego Lorenzo,3.49
19,Bautista-Agut Roberto,-3.1
14,Sinner Jannik,-3.91
16,Carreno-Busta Pablo,6.58
15,Schwartzman Diego,-10.29
13,Shapovalov Denis,-9.12
31,Harris Lloyd,9.54
