match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds
1980744,2021-09-16-01-35,Luxembourg WTA,wta,round of 16,indoors,2,1.84,0.15,Mandy Minella,Luxembourg,180,63,35,233,66,11,13,1,0,585,451,81,66,1.19,0,-,6.49,Alize Cornet,France,173,60,31,72,11,20,21,1,1,520,404,76,59,5.88,3,-,1.15
1980107,2021-09-16-03-35,Luxembourg WTA,wta,round of 16,indoors,1,1.46,0.1,Marketa Vondrousova,Czech Republic,172,59,22,35,14,23,16,1,0,199,86,44,7,2.44,0,-,1.1,Jana Fett,Croatia,168,65,24,227,97,23,19,7,4,259,171,87,38,-6.86,0,-,8.87
1980127,2021-09-16-03-50,Portoroz WTA,wta,round of 16,hard,2,1.71,0.38,Katie Boulter,Great Britain,182,68,25,171,82,21,10,12,7,227,144,150,90,4.84,0,1756,3.36,Yulia Putintseva,Kazakhstan,163,59,26,44,27,22,19,10,10,336,257,151,135,-1.84,1,1822,1.38
1980129,2021-09-16-19-00,Portoroz WTA,wta,round of 16,hard,1,1.4,0.79,Jasmine Paolini,Italy,160,60,25,87,87,24,18,10,10,285,200,72,59,4.27,0,1647,1.79,Anna Kalinskaya,Russia,175,68,22,145,96,18,18,12,9,195,118,93,43,-5.67,0,1645,2.15
1980743,2021-09-16-20-00,Luxembourg WTA,wta,round of 16,indoors,1,1.31,0.1,Jelena Ostapenko,Latvia,177,68,24,30,5,23,15,2,1,288,178,75,31,-0.29,0,-,1.1,Arianne Hartono,Netherlands,168,-,25,300,300,36,21,7,4,127,82,25,16,-0.52,0,-,8.59
