match_id,tour,title,surface,round,winner,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_odds,player1_H2H,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_odds,player2_H2H,player2_elo
1965324,wta,Belgrade WTA,clay,round of 16,1,Arantxa Rus,Netherlands,180,65,30,85,61,16,16,14,8,570,351,325,158,-2.59,1.87,1,1619,Olga Danilovic,Serbia,-,-,20,149,96,16,13,10,6,122,71,79,32,-2.06,2.02,0,1602
1965331,wta,Charleston 3,clay,round of 16,2,Alexa Glatch,USA,183,66,31,301,102,4,6,4,5,319,246,69,65,-1.01,3.12,0,-,Emma Navarro,USA,-,-,20,352,348,8,6,8,6,44,42,32,27,7.87,1.41,1,1365
1965086,wta,Olympics - Tokyo,hard,quarterfinal,1,Belinda Bencic,Switzerland,175,63,24,12,4,22,14,12,6,327,175,153,85,4.5,2.17,6,1849,Anastasia Pavlyuchenkova,Russia,177,72,30,18,13,20,13,7,7,454,310,235,170,5.01,1.78,2,1878
1965151,wta,Olympics - Tokyo,hard,quarterfinal,1,Elena Rybakina,Kazakhstan,184,73,22,20,17,22,13,10,7,193,89,70,36,-1.19,2.88,1,1895,Garbine Muguruza,Spain,182,73,27,9,1,30,11,23,6,445,224,223,106,-0.22,1.48,1,2019
1965319,wta,Charleston 3,clay,round of 16,1,Shuo Liang En,Taipei (CHN),-,-,20,247,150,14,16,5,7,79,64,9,11,1.64,1.63,1,-,Alexandra Kiick,USA,170,62,26,255,126,7,10,7,7,223,155,123,65,-3.78,2.41,0,-
1965087,wta,Olympics - Tokyo,hard,quarterfinal,2,Camila Giorgi,Italy,168,54,29,58,26,17,12,5,4,383,280,149,119,4.66,2.27,1,1808,Elina Svitolina,Ukraine,174,60,26,6,3,25,14,17,7,443,225,245,107,2.1,1.71,2,1956
1964551,wta,Charleston 3,clay,1. round,1,Kateryna Bondarenko,Ukraine,175,60,34,220,29,12,10,6,7,466,350,133,107,-1.59,1.28,1,1501,Peangthan Pliphuech,Thailand,169,64,28,316,175,3,4,0,2,306,258,18,15,-1.11,4.08,0,-
1965318,wta,Charleston 3,clay,round of 16,1,Lauren Davis,USA,157,55,27,95,26,14,14,5,4,317,224,74,45,-2.41,1.46,1,1665,Rebecca Marino,Canada,183,64,30,273,38,16,11,5,8,240,149,19,23,-2.19,2.90,0,1536
1965088,wta,Olympics - Tokyo,hard,quarterfinal,1,Marketa Vondrousova,Czech Republic,172,59,22,41,14,19,12,14,5,195,82,61,32,5.32,2.34,1,1804,Paula Badosa,Spain,180,72,23,29,29,29,11,6,4,272,148,95,49,11.03,1.68,1,1824
1965108,atp,Kitzbühel,clay,round of 16,2,Holger Rune,Denmark,185,68,18,206,204,42,17,29,15,87,44,68,32,5.88,2.82,0,1679,Arthur Rinderknech,France,196,86,26,91,91,43,19,17,9,204,115,80,54,11.23,1.49,1,1735
1964582,atp,Olympics - Tokyo,hard,round of 16,1,Daniil Medvedev,Russia,198,83,25,2,2,32,9,16,3,356,161,138,52,-1.39,1.12,5,2086,Fabio Fognini,Italy,178,79,34,31,9,19,17,9,7,608,454,130,130,-0.44,7.52,1,1794
1964581,atp,Olympics - Tokyo,hard,round of 16,1,Alexander Zverev,Germany,198,90,24,5,3,31,11,13,4,378,207,140,79,0.92,1.12,4,2013,Nikoloz Basilashvili,Georgia,185,79,29,41,16,23,19,9,6,430,346,186,148,11.05,7.55,1,1734
1965085,atp,Olympics - Tokyo,hard,round of 16,2,Ilya Ivashka,Belarus,193,84,27,66,63,26,14,3,3,316,199,166,95,3.45,2.66,0,1782,Kei Nishikori,Japan,178,73,31,69,4,18,14,7,6,567,258,280,130,4.02,1.54,1,1831
1964612,atp,Olympics - Tokyo,hard,round of 16,2,Alejandro Davidovich Fokina,Spain,183,80,22,34,34,25,16,3,2,192,119,77,40,0.74,19.62,0,1854,Novak Djokovic,Serbia,187,80,34,1,1,39,3,14,0,1113,235,524,95,5.38,1.03,2,2143
1965082,atp,Olympics - Tokyo,hard,round of 16,1,Jeremy Chardy,France,188,75,34,68,25,21,17,12,7,518,440,153,148,9.53,1.56,3,1797,Liam Broady,Great Britain,183,78,27,143,137,27,15,13,5,422,298,201,121,9.0,2.60,0,1604
1965083,atp,Olympics - Tokyo,hard,round of 16,2,Diego Schwartzman,Argentina,170,64,28,13,8,20,13,7,5,558,320,76,71,-7.63,2.15,3,1866,Karen Khachanov,Russia,198,87,25,25,8,24,15,11,4,312,214,113,71,-1.79,1.79,2,1830
1965084,atp,Olympics - Tokyo,hard,round of 16,1,Ugo Humbert,France,188,73,23,28,25,18,15,5,4,224,136,94,44,-0.37,4.31,2,1845,Stefanos Tsitsipas,Greece,193,89,22,4,4,42,12,15,4,364,176,147,83,0.3,1.26,0,2047
1964627,atp,Kitzbühel,clay,round of 16,2,Carlos Taberner,Spain,183,78,23,108,108,27,16,24,13,343,177,300,142,-0.27,3.33,0,1682,Filip Krajinovic,Serbia,185,75,29,33,26,15,12,11,8,458,265,270,120,0.79,1.38,2,1824
1965335,wta,Charleston 3,clay,round of 16,1,Jamie Loeb,USA,168,61,26,228,132,16,15,13,10,224,185,58,51,-2.81,1.90,1,1319,Katrina Scott,USA,-,-,17,434,408,7,10,1,5,22,19,2,7,-3.13,1.99,0,-
1965237,wta,Belgrade WTA,clay,round of 16,2,Maria Bara Irina,Romania,164,80,26,116,112,24,15,24,10,339,221,299,165,-3.81,1.25,0,-,Tara Wurth,Croatia,-,-,18,673,660,38,11,38,11,53,17,53,17,7.32,4.40,1,-
1965317,wta,Charleston 3,clay,round of 16,2,Tori Kinard,USA,-,-,33,548,341,4,5,3,3,239,257,38,32,-1.12,10.54,0,-,Varvara Lepchenko,USA,180,70,35,154,19,20,11,8,5,620,452,163,112,1.14,1.07,1,1610
1965225,wta,Belgrade WTA,clay,round of 16,2,Jessika Ponchet,France,-,-,24,248,169,12,7,3,2,236,173,75,62,-0.68,5.03,0,-,Andrea Petkovic,Germany,180,69,33,97,9,12,14,8,7,522,356,221,113,-1.06,1.20,1,1720
1965120,wta,Belgrade WTA,clay,round of 16,1,Martina Trevisan,Italy,-,-,27,102,83,8,17,7,7,254,143,209,94,-11.34,1.21,2,1554,Ulrikke Eikeri,Norway,-,-,28,292,206,11,17,9,11,404,244,245,144,-4.37,4.94,1,1315
1965316,atp,Atlanta,hard,round of 16,2,Steve Johnson,USA,188,86,31,80,21,6,10,3,5,341,261,215,153,1.34,2.97,3,1682,Harry Fritz Taylor,USA,193,86,23,42,24,19,12,13,6,254,174,160,91,2.6,1.45,4,-
1964119,atp,Atlanta,hard,1. round,1,Nick Kyrgios,Australia,193,85,26,58,13,7,3,5,2,257,140,157,83,1.5,1.67,1,-,Kevin Anderson,RSA,203,94,35,75,5,12,10,2,4,580,339,349,174,-2.51,2.32,2,1830
1965037,atp,Atlanta,hard,round of 16,1,Jordan Thompson,Australia,183,82,27,63,43,19,16,8,5,358,230,207,129,-0.91,1.70,2,1732,Peter Gojowczyk,Germany,188,83,32,130,39,22,19,3,3,577,430,180,131,3.53,2.29,1,1606
1965117,atp,Kitzbühel,clay,round of 16,2,Mario Vilella Martinez,Spain,178,74,26,167,158,27,18,22,12,349,204,297,153,2.54,10.03,0,1644,Casper Ruud,Norway,183,77,22,14,14,32,9,25,5,247,153,165,86,5.84,1.08,2,1951
1964882,atp,Kitzbühel,clay,round of 16,2,Roberto Bautista-Agut,Spain,183,75,33,16,9,23,18,7,7,700,415,269,182,-2.4,1.47,0,-,Pedro Martinez,Spain,185,76,24,97,82,22,16,18,11,353,190,300,145,3.86,2.91,1,1710
1965035,wta,Charleston 3,clay,round of 16,2,Na-Lae Han,South Korea,165,58,29,266,149,14,21,4,11,344,236,12,22,-15.08,2.49,3,-,Hanna Chang,USA,-,-,23,278,267,26,14,16,7,238,137,66,31,3.07,1.60,2,-
1965091,wta,Belgrade WTA,clay,round of 16,2,Varvara Gracheva,Russia,-,-,20,89,86,11,19,7,10,160,90,108,44,-9.09,1.97,0,1553,Kristyna Pliskova,Czech Republic,184,73,29,124,35,8,12,4,5,459,370,139,126,-7.81,1.92,1,1627
1964884,atp,Kitzbühel,clay,round of 16,2,Jiri Vesely,Czech Republic,198,94,28,86,35,13,19,6,11,397,271,217,123,-11.16,1.72,2,1642,Jozef Kovalik,Slovakia,183,82,28,131,80,23,20,20,17,448,303,318,194,-0.31,2.25,1,1562
1965231,atp,Kitzbühel,clay,round of 16,2,Albert Ramos-Vinolas,Spain,188,76,33,43,17,21,19,20,13,682,507,556,335,-0.83,1.63,0,-,Gianluca Mager,Italy,188,77,26,74,73,25,19,22,15,360,248,268,170,3.99,2.44,1,1682
1964117,atp,Atlanta,hard,1. round,2,Trent Bryde,USA,180,70,21,1164,625,3,4,3,4,80,53,52,31,1.42,13.03,0,-,Brandon Nakashima,USA,185,77,19,115,115,27,16,10,4,108,58,67,32,-1.37,1.05,1,1722
1965090,wta,Belgrade WTA,clay,round of 16,2,Susan Bandecchi,Switzerland,-,-,23,222,201,27,16,10,7,195,127,89,61,2.95,3.24,0,-,Anna Blinkova,Russia,179,70,22,83,54,14,17,8,6,197,131,45,33,-8.29,1.39,1,1612
1965119,wta,Belgrade WTA,clay,round of 16,2,Adina Cristian Jaqueline,Romania,-,-,23,159,140,17,16,9,9,220,153,109,77,2.63,1.98,0,-,Rebecca Sramkova,Slovakia,179,68,24,205,111,23,16,8,6,303,188,185,98,7.15,1.91,2,1508
1965112,wta,Belgrade WTA,clay,round of 16,2,Jule Niemeier,Germany,-,-,21,140,140,34,13,25,7,131,69,104,48,5.24,1.63,0,1703,Anna Schmiedlova Karolina,Slovakia,-,-,26,123,26,25,16,15,9,343,227,178,88,-0.06,2.40,1,-
1965260,atp,Kitzbühel,clay,round of 16,2,Alexander Erler,Austria,193,83,23,337,333,39,16,27,9,198,156,119,95,15.47,3.29,0,-,Mikael Ymer,Sweden,183,75,22,99,67,17,13,10,6,213,113,92,51,5.36,1.39,1,1703
1965230,atp,Kitzbühel,clay,round of 16,1,Daniel Altmaier,Germany,191,88,22,135,122,24,17,23,14,292,160,143,88,1.29,1.79,1,1702,Marco Cecchinato,Italy,185,78,28,83,16,23,19,23,15,468,317,406,223,-6.4,2.15,1,1739
1964708,atp,Olympics - Tokyo,hard,round of 16,1,Pablo Carreno-Busta,Spain,188,78,30,11,10,27,9,8,3,547,290,147,74,3.76,1.34,2,-,Dominik Koepfer,Germany,180,79,27,59,50,20,18,6,5,229,148,109,63,0.3,3.61,0,1717
1964124,atp,Atlanta,hard,1. round,1,Jack Sock,USA,191,88,28,201,8,15,9,9,3,296,227,149,126,0.54,1.65,1,1674,Ricardas Berankis,Lithuania,175,77,31,84,50,11,13,4,4,539,341,228,147,-3.51,2.36,1,1715
